,Player,Pos,FG-per-36,FGA-per-36,FG%-per-36,3P-per-36,3PA-per-36,3P%-per-36,2P-per-36,2PA-per-36,2P%-per-36,FT-per-36,FTA-per-36,FT%-per-36,ORB-per-36,DRB-per-36,TRB-per-36,AST-per-36,STL-per-36,BLK-per-36,TOV-per-36,PF-per-36,PTS-per-36,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Team,Season,Season Type,Games,Fast Break Pts,Points In Paint,Points off TO,2nd Chance PTS,Q1 Points Per Game,Q2 Points Per Game,Q3 Points Per Game,Q4 Points Per Game,Points scored per shot
272,Kawhi Leonard,SF,8.9,19.0,0.46799999999999997,1.9,6.0,0.314,7.0,13.0,0.539,5.3,6.5,0.816,1.0,6.2,7.2,3.6,3.1,1.5,2.7,1.5,25.0,26.0,0.5720000000000001,0.315,0.342,3.1,19.1,11.1,17.7,4.3,3.6,11.1,30.6,0.3,0.5,0.9,0.196,2.7,3.2,5.9,0.4,Spurs,2017-2018,REG,9,2.67,5.11,3.56,1.22,3.22,7.33,4.0,1.67,1.315
273,Meyers Leonard,C,6.5,11.1,0.59,1.6,3.7,0.423,5.0,7.4,0.6729999999999999,1.3,1.6,0.818,1.7,8.2,9.9,2.4,1.0,0.0,1.4,5.1,15.9,17.8,0.6759999999999999,0.33299999999999996,0.141,5.2,24.7,15.0,10.6,1.4,0.0,10.8,16.1,0.7,0.3,1.1,0.2,1.2,-0.2,0.9,0.2,Trail Blazers,2017-2018,REG,25,0.08,1.28,0.2,0.56,0.52,1.04,0.48,1.36,1.4409999999999998
274,Jon Leuer,PF,4.0,9.5,0.41700000000000004,0.0,0.8,0.0,4.0,8.7,0.455,3.4,4.0,0.867,1.9,6.6,8.5,1.3,0.3,0.8,1.9,4.2,11.4,8.9,0.505,0.083,0.41700000000000004,5.6,20.7,13.0,5.3,0.4,2.0,14.1,16.1,0.0,0.1,0.1,0.051,-5.6,-0.4,-5.9,-0.1,Pistons,2017-2018,REG,8,1.0,3.0,1.5,0.75,1.88,1.0,1.25,1.25,1.194
275,Caris LeVert,SF,6.2,14.2,0.435,1.6,4.7,0.34700000000000003,4.5,9.5,0.48,2.6,3.6,0.711,1.0,4.0,5.0,5.8,1.6,0.4,3.0,3.1,16.6,14.3,0.525,0.33299999999999996,0.254,3.0,11.9,7.4,26.0,2.1,0.9,15.8,22.5,0.7,1.6,2.3,0.059000000000000004,-0.3,-0.2,-0.5,0.7,Nets,2017-2018,REG,58,1.78,5.62,2.22,1.36,2.55,3.53,2.5,3.34,1.169
276,DeAndre Liggins,SG,2.0,5.3,0.377,0.9,2.6,0.358,1.0,2.6,0.396,0.1,0.2,0.4,0.3,3.4,3.7,2.4,1.8,0.7,1.0,4.0,5.0,6.0,0.467,0.5,0.047,1.1,10.6,5.9,8.4,2.5,1.6,15.6,7.9,-0.2,0.7,0.5,0.034,-3.4,1.2,-2.2,0.0,"Bucks, Pelicans",2017-2018,REG,49,0.37,0.49,0.27,0.18,0.27,0.63,0.27,0.8,1.065
277,Damian Lillard,PG,8.4,19.1,0.439,3.1,8.5,0.361,5.3,10.6,0.501,6.6,7.3,0.9159999999999999,0.8,3.5,4.4,6.5,1.0,0.4,2.8,1.6,26.5,25.2,0.594,0.445,0.38,2.6,10.6,6.6,30.9,1.4,0.8,11.1,30.6,9.9,2.7,12.6,0.22699999999999998,7.7,-1.0,6.7,5.9,Trail Blazers,2017-2018,REG,61,2.07,7.48,3.64,1.92,6.64,5.52,8.36,6.18,1.396
278,Jeremy Lin,PG,7.2,17.3,0.41700000000000004,1.4,2.9,0.5,5.8,14.4,0.4,10.1,10.1,1.0,0.0,0.0,0.0,5.8,0.0,0.0,4.3,4.3,25.9,15.9,0.597,0.16699999999999998,0.583,0.0,0.0,0.0,27.1,0.0,0.0,16.6,31.3,0.0,0.0,0.0,0.087,-3.1,-10.4,-13.5,-0.1,Nets,2017-2018,REG,1,2.0,6.0,6.0,0.0,2.0,7.0,7.0,2.0,1.5
279,Shaun Livingston,PG,5.5,10.9,0.501,0.0,0.2,0.0,5.5,10.8,0.509,1.6,1.9,0.82,1.0,3.2,4.2,4.5,1.1,0.7,1.8,3.7,12.6,11.6,0.5329999999999999,0.015,0.17800000000000002,3.4,9.2,6.5,16.8,1.5,1.5,13.6,16.7,0.9,0.9,1.8,0.077,-2.6,-0.9,-3.5,-0.4,Warriors,2017-2018,REG,57,1.04,2.67,0.88,0.26,0.61,2.63,0.68,1.6,1.167
280,Kevon Looney,C,4.4,7.6,0.58,0.0,0.2,0.2,4.4,7.4,0.59,1.7,3.0,0.545,3.3,5.2,8.5,1.7,1.3,2.2,1.2,4.2,10.6,14.8,0.588,0.026000000000000002,0.39899999999999997,11.0,15.2,13.2,6.0,1.8,4.9,12.0,12.5,1.5,1.3,2.8,0.145,-0.9,2.1,1.2,0.7,Warriors,2017-2018,REG,52,0.33,2.46,0.33,0.79,0.52,0.52,0.96,1.17,1.385
281,Brook Lopez,C,7.7,16.5,0.465,2.3,6.7,0.345,5.3,9.7,0.5489999999999999,2.3,3.3,0.703,1.5,4.6,6.1,2.6,0.6,2.0,2.0,4.0,19.9,16.4,0.557,0.41,0.19899999999999998,4.6,13.4,9.0,11.6,0.8,4.6,10.2,23.5,1.9,1.9,3.8,0.105,0.3,0.2,0.5,1.1,Lakers,2017-2018,REG,60,0.83,5.77,0.93,1.45,4.78,2.47,4.18,1.23,1.187
