Player,Pos,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,MPG
Walt Hazzard,PG,82,0,2757,6.437431991294886,13.788900979325353,0.0,0.0,3.486398258977149,4.309031556039173,0.0,0.0,7.325353645266595,0.0,0.0,0.0,3.4472252448313383,16.36126224156692,15.7,0.522,0.0,0.313,0.0,0.0,0.0,25.9,0.0,0.0,0.0,0.0,3.5,1.5,5.0,0.08800000000000001,0.0,0.0,0.0,33.6219512195122
Lou Hudson,SF,80,0,3091,9.666774506632159,18.21546425105144,0.0,0.0,4.320931737301844,5.241022322872857,0.0,0.0,3.214493691362019,0.0,0.0,0.0,2.6205111614364287,23.65448075056616,19.0,0.5760000000000001,0.0,0.28800000000000003,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,9.8,1.3,11.1,0.172,0.0,0.0,0.0,38.6375
Darrall Imhoff,C,79,0,2474,6.257073565076799,11.582861762328212,0.0,0.0,3.1285367825383994,4.816491511721908,0.0,0.0,3.0703314470493126,0.0,0.0,0.0,4.2780921584478575,15.642683912691997,15.5,0.5710000000000001,0.0,0.41600000000000004,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.0,4.9,3.3,8.2,0.159,0.0,0.0,0.0,31.31645569620253
Gus Johnson,PF,78,0,2919,7.128468653648509,15.810894141829392,0.0,0.0,2.4295991778006165,3.3545734840698866,0.0,0.0,3.2559095580678314,0.0,0.0,0.0,3.317574511819116,16.686536485097637,16.3,0.483,0.0,0.212,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.9,5.0,5.9,0.09699999999999999,0.0,0.0,0.0,37.42307692307692
Jim King,PG,3,0,105,6.514285714285714,15.771428571428572,0.0,0.0,3.7714285714285714,4.8,0.0,0.0,3.428571428571429,0.0,0.0,0.0,2.742857142857143,16.8,13.1,0.47,0.0,0.304,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.048,0.0,0.0,0.0,35.0
Howard Komives,PG,82,0,2418,5.4044665012406945,13.071960297766749,0.0,0.0,2.8287841191067,3.4838709677419355,0.0,0.0,4.645161290322581,0.0,0.0,0.0,3.6774193548387095,13.63771712158809,10.6,0.467,0.0,0.267,0.0,0.0,0.0,17.3,0.0,0.0,0.0,0.0,-0.1,0.9,0.9,0.017,0.0,0.0,0.0,29.48780487804878
Stu Lantz,PG,82,0,2471,6.628895184135978,14.962363415621205,0.0,0.0,4.050182112505059,5.259409146094699,0.0,0.0,4.181303116147308,0.0,0.0,0.0,3.4674220963172804,17.307972480777014,12.9,0.501,0.0,0.35200000000000004,0.0,0.0,0.0,14.6,0.0,0.0,0.0,0.0,1.9,2.7,4.7,0.091,0.0,0.0,0.0,30.134146341463413
Clyde Lee,C,82,0,2641,4.934494509655433,11.204846648996591,0.0,0.0,2.42635365391897,4.089360090874669,0.0,0.0,1.0904960242332449,0.0,0.0,0.0,3.585005679666793,12.295342673229836,12.0,0.473,0.0,0.365,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,0.064,0.0,0.0,0.0,32.207317073170735
Kevin Loughery,SG,55,0,2037,8.430044182621502,19.12223858615611,0.0,0.0,4.471281296023564,5.266568483063328,0.0,0.0,5.160530191458027,0.0,0.0,0.0,3.2341678939617085,21.331369661266567,15.9,0.49700000000000005,0.0,0.275,0.0,0.0,0.0,19.1,0.0,0.0,0.0,0.0,1.8,2.2,4.0,0.094,0.0,0.0,0.0,37.03636363636364
Bob Love,PF,82,0,3123,7.377521613832853,15.827089337175792,0.0,0.0,5.095100864553314,6.051873198847262,0.0,0.0,1.7060518731988472,0.0,0.0,0.0,2.9971181556195963,19.85014409221902,16.1,0.537,0.0,0.382,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,5.6,3.0,8.6,0.132,0.0,0.0,0.0,38.08536585365854
Jerry Lucas,PF,4,0,118,5.491525423728814,10.677966101694915,0.0,0.0,1.5254237288135595,2.135593220338983,0.0,0.0,2.745762711864407,0.0,0.0,0.0,1.5254237288135595,12.508474576271187,15.6,0.5379999999999999,0.0,0.2,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.111,0.0,0.0,0.0,29.5
Jack Marin,SF,82,0,2947,8.1357312521208,16.650152697658633,0.0,0.0,3.493722429589413,4.141160502205633,0.0,0.0,2.65083135391924,0.0,0.0,0.0,3.029521547336274,19.765184933831012,16.0,0.535,0.0,0.249,0.0,0.0,0.0,9.7,0.0,0.0,0.0,0.0,5.0,3.3,8.3,0.136,0.0,0.0,0.0,35.9390243902439
Jon McGlocklin,SG,82,0,2966,7.75590020229265,14.637896156439648,0.0,0.0,2.0512474713418745,2.4032366824005393,0.0,0.0,3.6776803776129467,0.0,0.0,0.0,1.99055967633176,17.563047875927175,14.8,0.5589999999999999,0.0,0.16399999999999998,0.0,0.0,0.0,13.2,0.0,0.0,0.0,0.0,6.2,2.1,8.2,0.133,0.0,0.0,0.0,36.170731707317074
