Player,Pos,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,MPG
James Donaldson,C,82,58,2392,5.282608695652174,8.292642140468228,0.0,0.0,3.416387959866221,4.5602006688963215,2.528428093645485,7.525083612040134,0.7224080267558528,0.4214046822742475,1.9565217391304348,3.100334448160535,3.265886287625418,13.981605351170568,14.6,0.679,0.0,0.55,8.0,22.4,15.5,2.7,0.6,2.9,23.1,15.2,2.5,2.5,5.0,0.10099999999999999,-1.0,0.3,-0.7,29.170731707317074
Larry Drew,PG,72,66,2373,6.93299620733249,13.850821744627053,0.10619469026548672,0.4247787610619469,2.336283185840708,2.943109987357775,0.5916561314791403,1.8963337547408343,7.342604298356511,1.4108723135271808,0.1213653603034134,2.7155499367888747,2.230088495575221,16.308470290771176,14.7,0.5379999999999999,0.031,0.212,1.9,6.0,3.9,27.8,1.8,0.2,15.2,19.6,2.9,0.7,3.6,0.073,1.0,-1.2,-0.1,32.958333333333336
Clyde Drexler,SG,80,43,2555,8.073581213307241,16.358512720156558,0.112720156555773,0.5213307240704501,3.1420743639921724,4.142465753424657,3.057534246575343,3.649315068493151,6.213698630136987,2.4939334637964774,0.9581213307240705,3.1420743639921724,3.7338551859099804,19.40195694716243,19.7,0.534,0.032,0.253,9.5,11.3,10.4,24.4,3.2,1.5,14.7,23.5,4.0,3.5,7.5,0.141,2.9,1.4,4.3,31.9375
Mark Eaton,C,82,82,2813,3.864912904372556,8.612868823320298,0.0,0.0,2.4315677212939923,3.416992534660505,2.64912904372556,9.214361891219339,1.5869178812655529,0.46071809456096696,5.835762531105582,2.636331318876644,3.9928901528617136,10.161393530039105,13.6,0.502,0.0,0.397,7.8,25.8,17.0,5.7,0.6,8.7,20.7,14.1,-1.3,6.7,5.4,0.09300000000000001,-3.1,4.2,1.2,34.30487804878049
Alex English,SF,81,81,2924,11.560875512995896,22.309165526675788,0.012311901504787962,0.06155950752393981,4.7154582763337896,5.688098495212039,2.499316005471956,3.13953488372093,4.235294117647059,1.2435020519835842,0.5663474692202463,3.0902872777017785,3.188782489740082,27.84952120383037,21.6,0.561,0.003,0.255,7.0,9.9,8.3,17.9,1.5,0.9,11.1,29.3,6.8,2.1,8.9,0.146,4.1,-1.4,2.7,36.098765432098766
Julius Erving,SF,78,78,2535,8.662721893491124,17.55266272189349,0.04260355029585799,0.19881656804733727,4.8,6.276923076923077,2.442603550295858,3.4366863905325444,3.30887573964497,1.9171597633136093,1.5479289940828402,2.9538461538461536,2.8260355029585797,22.168047337278104,20.0,0.546,0.011000000000000001,0.358,7.7,10.7,9.2,14.6,2.5,2.5,12.7,26.0,4.5,3.1,7.6,0.14400000000000002,3.0,0.5,3.5,32.5
Vern Fleming,PG,80,65,2486,6.270313757039421,13.351568785197104,0.0,0.057924376508447305,3.765084473049075,4.909090909090909,2.14320193081255,2.5341914722445695,3.576830249396621,1.4336283185840708,0.11584875301689461,2.8527755430410298,3.3596138374899436,16.305711987127918,12.8,0.526,0.004,0.368,6.2,7.5,6.9,14.0,1.8,0.2,15.5,20.1,1.3,2.0,3.3,0.063,-1.1,-0.5,-1.6,31.075
Sleepy Floyd,SG,82,82,2873,7.6435781413156985,17.191785589975634,0.5262791507135398,1.7918552036199096,4.2102332057083185,5.200139227288549,0.7768882701009399,1.7542638357117997,5.0873651235642185,1.6790810998955796,0.5137486947441698,3.145144448311869,2.8318830490776192,20.023668639053255,15.4,0.514,0.10400000000000001,0.302,2.2,6.0,3.9,21.1,2.2,0.8,13.9,24.6,2.3,0.8,3.1,0.052000000000000005,0.8,-1.2,-0.4,35.03658536585366
World B. Free,SG,71,50,2249,9.748332592263228,21.25744775455758,1.1365051133837263,3.089373054690974,4.930191196087151,6.578923966207204,0.9764339706536239,2.4010671409515343,5.122276567363273,1.2005335704757671,0.25611382836816365,2.2249888839484218,2.6091596265006674,25.563361493997334,19.7,0.529,0.145,0.309,2.9,7.2,5.1,23.5,1.6,0.4,8.4,29.4,4.5,1.4,6.0,0.127,3.7,-0.8,3.0,31.676056338028168
George Gervin,SG,72,69,2091,10.329985652797705,20.350071736011476,0.0,0.1721664275466284,5.57819225251076,6.611190817790531,1.3601147776183644,2.66857962697274,3.0645624103299856,1.1362984218077474,0.8263988522238164,3.4088952654232423,3.581061692969871,26.23816355810617,18.5,0.564,0.008,0.325,4.4,8.1,6.3,13.1,1.5,1.3,12.8,29.7,3.2,1.4,4.6,0.106,1.3,-1.6,-0.3,29.041666666666668
