Index,Player,Pos,FG-per-36,FGA-per-36,FG%-per-36,3P-per-36,3PA-per-36,3P%-per-36,2P-per-36,2PA-per-36,2P%-per-36,FT-per-36,FTA-per-36,FT%-per-36,ORB-per-36,DRB-per-36,TRB-per-36,AST-per-36,STL-per-36,BLK-per-36,TOV-per-36,PF-per-36,PTS-per-36,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Fast Break Pts,Points In Paint,Points off TO,2nd Chance PTS,Q1 Points Per Game,Q2 Points Per Game,Q3 Points Per Game,Q4 Points Per Game,Points scored per shot,A2TO,MPG
54,Devin Booker,SG,0.761904761904762,0.9590163934426230,0.2526315789473690,0.5957446808510640,0.6666666666666670,0.8183760683760680,0.5375000000000000,0.66,0.28294573643410900,0.6097560975609760,0.5851063829787230,0.8895833333333340,0.08928571428571430,0.20192307692307700,0.14765100671140900,0.4090909090909090,0.15789473684210500,0.07692307692307690,0.6904761904761910,0.6785714285714290,0.7574257425742570,0.6056338028169010,0.5687221396731060,0.42079207920792100,0.5064935064935070,0.5126760563380280,0.38917089678511,0.09036144578313250,0.20700636942675200,0.13716814159292000,0.4304932735426010,0.1481481481481480,0.06451612903225810,0.45569620253164600,0.7981651376146790,0.25384615384615400,0.07272727272727270,0.16666666666666700,0.2364864864864870,0.44881889763779500,0.125,0.304635761589404,0.23000000000000000,0.594758064516129,0.35519888346127000,0.303763440860215,0.2655935613682090,0.5842391304347830,0.8040665434380780,0.5417236662106700,0.7316239316239320,0.4462365591397850,0.2977498691784410,0.7184862656560770
57,Avery Bradley,SG,0.3968253968253970,0.581967213114754,0.18947368421052600,0.40425531914893600,0.45945945945945900,0.7884615384615390,0.37500000000000000,0.5066666666666670,0.189922480620155,0.1219512195121950,0.12765957446808500,0.6604166666666670,0.10714285714285700,0.028846153846153800,0.026845637583892600,0.125,0.368421052631579,0.038461538461538500,0.4047619047619050,0.3571428571428570,0.28712871287128700,0.49295774647887300,0.40824665676077300,0.0,0.22510822510822500,0.4577464788732400,0.08291032148900170,0.10240963855421700,0.03503184713375800,0.026548672566371700,0.1165919282511210,0.37037037037037000,0.04838709677419360,0.4177215189873420,0.4220183486238530,0.0,0.18181818181818200,0.0,0.0,0.0,0.23863636363636400,0.0,0.030000000000000000,0.2721774193548390,0.2456385205861830,0.3602150537634410,0.20925553319919500,0.3220108695652170,0.24214417744916800,0.1997264021887830,0.1863247863247860,0.14247311827957000,0.45940170940170900,0.3156433394333310
60,Malcolm Brogdon,PG,0.33333333333333300,0.32786885245901600,0.43859649122807000,0.3404255319148940,0.3603603603603600,0.8226495726495730,0.37500000000000000,0.3733333333333330,0.562015503875969,0.1585365853658540,0.12765957446808500,0.8979166666666670,0.10714285714285700,0.11538461538461500,0.09395973154362420,0.2840909090909090,0.2105263157894740,0.07692307692307690,0.21428571428571400,0.6785714285714290,0.24752475247524800,0.5211267605633800,0.40936106983655300,0.23267326732673300,0.5800865800865800,0.4507042253521130,0.14720812182741100,0.11445783132530100,0.1464968152866240,0.11061946902654900,0.2488789237668160,0.22222222222222200,0.09677419354838710,0.26582278481012700,0.22018348623853200,0.26153846153846200,0.0909090909090909,0.18589743589743600,0.3310810810810810,0.2677165354330710,0.18181818181818200,0.19205298013245000,0.13,0.24596774193548400,0.34891835310537300,0.13172043010752700,0.08249496981891350,0.09375000000000000,0.321626617375231,0.0328317373461012,0.4341880341880340,0.40725806451612900,0.12415654520917700,0.16860183841315900
62,Dillon Brooks,SF,0.1904761904761910,0.2622950819672130,0.28070175438596500,0.2978723404255320,0.3603603603603600,0.7606837606837610,0.27500000000000000,0.32,0.3759689922480620,0.1585365853658540,0.1702127659574470,0.6166666666666670,0.14285714285714300,0.10576923076923100,0.09395973154362420,0.09090909090909090,0.2631578947368420,0.07692307692307690,0.26190476190476200,0.8214285714285710,0.15346534653465400,1.0,0.7488855869242200,0.009900990099009950,0.37662337662337700,0.4816901408450710,0.2250423011844330,0.14457831325301200,0.13694267515923600,0.10619469026548700,0.09192825112107630,0.2962962962962960,0.08064516129032260,0.3860759493670890,0.19266055045871600,0.11538461538461500,0.16363636363636400,0.08974358974358970,0.10472972972973000,0.07874015748031500,0.25,0.0728476821192053,0.040000000000000000,0.26411290322580600,0.18911374738311200,0.08064516129032260,0.060362173038229400,0.12092391304347800,0.0036968576709796700,0.0,0.16581196581196600,0.2715053763440860,0.3821733821733820,0.018867924528302100
64,Jaylen Brown,SG,0.3492063492063490,0.3934426229508200,0.36842105263157900,0.425531914893617,0.45945945945945900,0.8440170940170940,0.325,0.3533333333333330,0.46511627906976700,0.2317073170731710,0.3191489361702130,0.4020833333333330,0.19642857142857100,0.25,0.2214765100671140,0.06818181818181820,0.3157894736842110,0.11538461538461500,0.30952380952381000,0.6071428571428570,0.31188118811881200,0.8309859154929580,0.6753343239227340,0.198019801980198,0.510822510822511,0.5366197183098590,0.35194585448392600,0.2048192771084340,0.24840764331210200,0.2168141592920350,0.07399103139013450,0.2962962962962960,0.12903225806451600,0.3354430379746840,0.3256880733944950,0.20000000000000000,0.5454545454545450,0.3012820512820510,0.36148648648648700,0.1732283464566930,0.4431818181818180,0.2649006622516560,0.21000000000000000,0.31653225806451600,0.32030704815073300,0.3897849462365590,0.2736418511066400,0.44157608695652200,0.033271719038817000,0.277701778385773,0.08205128205128210,0.40322580645161300,0.4952766531713900,0.26692929711797600
73,Jimmy Butler,SG,0.5238095238095240,0.5491803278688530,0.4000000000000000,0.2553191489361700,0.2972972972972970,0.7478632478632480,0.5625,0.6,0.4728682170542640,0.6585365853658540,0.6595744680851060,0.8395833333333340,0.23214285714285700,0.17307692307692300,0.18120805369127500,0.39772727272727300,0.6842105263157890,0.11538461538461500,0.23809523809523800,0.0,0.5445544554455450,0.676056338028169,0.6797919762258540,0.6980198019801980,0.6320346320346320,0.30563380281690100,0.6412859560067680,0.25301204819277100,0.20700636942675200,0.1991150442477880,0.3452914798206280,0.7037037037037040,0.12903225806451600,0.13924050632911400,0.4862385321100920,0.6538461538461540,0.29090909090909100,0.5833333333333330,0.6925675675675680,0.6062992125984250,0.40909090909090900,0.6092715231788080,0.49000000000000000,0.3830645161290320,0.4780181437543620,0.6559139784946240,0.32394366197183100,0.41168478260869600,0.5841035120147880,0.35567715458276300,0.8427350427350430,0.6250000000000000,0.08333333333333330,0.9732847900420650
77,Kentavious Caldwell-Pope,SG,0.15873015873015900,0.25409836065573800,0.23157894736842100,0.4893617021276600,0.5495495495495500,0.8183760683760680,0.1375,0.1733333333333330,0.3333333333333330,0.19512195121951200,0.20212765957446800,0.7041666666666670,0.16071428571428600,0.2596153846153850,0.21476510067114100,0.125,0.5263157894736840,0.038461538461538500,0.14285714285714300,0.28571428571428600,0.18811881188118800,0.8873239436619720,0.7890044576523030,0.17821782178217800,0.5064935064935070,0.7323943661971830,0.272419627749577,0.1566265060240960,0.25159235668789800,0.1991150442477880,0.09417040358744400,0.48148148148148100,0.04838709677419360,0.20253164556962000,0.11926605504587100,0.3076923076923080,0.45454545454545500,0.3525641025641030,0.3716216216216220,0.2677165354330710,0.4431818181818180,0.3443708609271520,0.3,0.5080645161290320,0.1270062805303560,0.3064516129032260,0.20925553319919500,0.20652173913043500,0.17744916820702400,0.22435020519835800,0.2222222222222220,0.4045698924731180,0.20085470085470100,0.5612913348762410
80,DeMarre Carroll,SF,0.22222222222222200,0.36065573770491800,0.18947368421052600,0.5106382978723400,0.5855855855855860,0.7927350427350430,0.175,0.23333333333333300,0.2713178294573640,0.30487804878048800,0.34042553191489400,0.6520833333333340,0.3035714285714290,0.39423076923076900,0.36241610738255000,0.125,0.2105263157894740,0.15384615384615400,0.21428571428571400,0.5000000000000000,0.2722772277227720,0.8732394366197180,0.6857355126300150,0.23267326732673300,0.458874458874459,0.7014084507042250,0.3908629441624370,0.30722891566265100,0.3885350318471340,0.3451327433628320,0.1188340807174890,0.18518518518518500,0.12903225806451600,0.2278481012658230,0.25229357798165100,0.2846153846153850,0.29090909090909100,0.27564102564102600,0.3310810810810810,0.25196850393700800,0.36363636363636400,0.2913907284768210,0.23000000000000000,0.22983870967741900,0.20446615491974900,0.15591397849462400,0.3058350100603620,0.2241847826086960,0.22920517560073900,0.18604651162790700,0.1863247863247860,0.38978494623655900,0.2713675213675210,0.16221643437978400
89,Wilson Chandler,SF,0.04761904761904760,0.09016393442622950,0.29824561403508800,0.2978723404255320,0.34234234234234200,0.764957264957265,0.175,0.19333333333333300,0.441860465116279,0.09756097560975610,0.08510638297872340,0.6687500000000000,0.28571428571428600,0.23076923076923100,0.24161073825503400,0.125,0.05263157894736840,0.1923076923076920,0.14285714285714300,0.39285714285714300,0.029702970297029800,0.8873239436619720,0.7473997028231800,0.06930693069306930,0.4242424242424240,0.5492957746478870,0.16751269035533,0.29518072289156600,0.25159235668789800,0.2522123893805310,0.09641255605381170,0.03703703703703700,0.1935483870967740,0.3291139240506330,0.0,0.2692307692307690,0.18181818181818200,0.22435897435897400,0.25000000000000000,0.1811023622047240,0.35227272727272700,0.2185430463576160,0.17,0.14112903225806400,0.21632937892533100,0.08064516129032260,0.1629778672032190,0.048913043478260900,0.1719038817005550,0.0848153214774282,0.0,0.29569892473118300,0.20085470085470100,0.3811634566351550
98,Darren Collison,PG,0.2539682539682540,0.2295081967213120,0.47368421052631600,0.36170212765957400,0.33333333333333300,1.0,0.2875,0.31333333333333300,0.4689922480620160,0.20731707317073200,0.18085106382978700,0.8979166666666670,0.125,0.03846153846153850,0.046979865771812100,0.6022727272727270,0.5263157894736840,0.07692307692307690,0.16666666666666700,0.3214285714285720,0.22772277227722800,0.8169014084507040,0.62555720653789,0.45544554455445500,0.7186147186147180,0.45211267605633800,0.24365482233502500,0.12650602409638600,0.05095541401273880,0.048672566371681400,0.4753363228699550,0.5555555555555560,0.08064516129032260,0.26582278481012700,0.14220183486238500,0.5538461538461540,0.29090909090909100,0.5,0.6351351351351350,0.46456692913385800,0.28409090909090900,0.423841059602649,0.32,0.439516129032258,0.13677599441730600,0.3709677419354840,0.09456740442655930,0.24456521739130400,0.08687615526802220,0.280437756497948,0.061538461538461600,0.557795698924731,0.0,0.08882859005910690
100,Mike Conley,PG,0.3492063492063490,0.6229508196721310,0.07368421052631590,0.4893617021276600,0.6666666666666670,0.6666666666666670,0.2875,0.3866666666666670,0.20542635658914700,0.548780487804878,0.5851063829787230,0.7333333333333330,0.0,0.04807692307692310,0.006711409395973160,0.38636363636363600,0.3157894736842110,0.07692307692307690,0.21428571428571400,0.3571428571428570,0.45049504950495100,0.014084507042253500,0.01448736998514120,0.2871287128712870,0.329004329004329,0.6450704225352110,0.5262267343485620,0.0,0.07643312101910830,0.013274336283185900,0.38116591928251100,0.2962962962962960,0.09677419354838710,0.10759493670886100,0.5321100917431190,0.13846153846153800,0.0,0.05128205128205130,0.28378378378378400,0.31496062992126000,0.0,0.12582781456953600,0.11000000000000000,0.23991935483871000,0.2944870900209350,0.12903225806451600,0.054325955734406400,0.22282608695652200,0.42144177449168200,0.12038303693570500,0.7264957264957270,0.3709677419354840,0.07583196944899070,0.30745041122399600
106,DeMarcus Cousins,C,0.6984126984126980,0.762295081967213,0.3859649122807020,0.46808510638297900,0.5495495495495500,0.7564102564102560,0.5875000000000000,0.5866666666666670,0.554263565891473,0.6707317073170730,0.7765957446808510,0.6145833333333330,0.3928571428571430,0.8173076923076920,0.691275167785235,0.4545454545454550,0.5263157894736840,0.5769230769230770,1.0,0.8928571428571430,0.712871287128713,0.5211267605633800,0.5211738484398220,0.6435643564356440,0.6017316017316020,0.4788732394366200,0.6328257191201350,0.4096385542168670,0.786624203821656,0.6769911504424780,0.39910313901345300,0.5185185185185190,0.532258064516129,0.7721518987341770,0.8073394495412840,0.22307692307692300,0.5454545454545450,0.31410256410256400,0.4628378378378380,0.37007874015748000,0.8068181818181820,0.6423841059602650,0.44000000000000000,0.284274193548387,0.6852756454989530,0.5241935483870970,0.5593561368209250,0.6236413043478260,0.8317929759704250,0.4281805745554040,0.8034188034188040,0.6102150537634410,0.4039671020803100,0.9149129172714070
107,Robert Covington,SF,0.1428571428571430,0.27049180327868900,0.1859649122807020,0.6170212765957450,0.7027027027027030,0.7884615384615390,0.05000000000000000,0.0733333333333333,0.42635658914728700,0.1219512195121950,0.10638297872340400,0.8375,0.14285714285714300,0.31730769230769200,0.24832214765100700,0.1022727272727270,0.6842105263157890,0.34615384615384600,0.23809523809523800,0.7500000000000000,0.1782178217821780,0.971830985915493,0.8164933135215450,0.16336633663366300,0.5151515151515150,0.9267605633802820,0.1370558375634520,0.14457831325301200,0.2961783439490450,0.23451327433628300,0.07847533632287000,0.6666666666666670,0.3548387096774190,0.35443037974683500,0.13302752293578000,0.23076923076923100,0.7818181818181820,0.40384615384615400,0.41554054054054100,0.25196850393700800,0.6363636363636360,0.44370860927152300,0.4,0.30040322580645200,0.0851360781577111,0.2365591397849460,0.22132796780684100,0.1453804347826090,0.27911275415896500,0.10533515731874100,0.18803418803418800,0.3508064516129030,0.3333333333333330,0.3748911465892600
108,Allen Crabbe,SG,0.23809523809523800,0.40983606557377000,0.1649122807017550,0.702127659574468,0.7837837837837840,0.8076923076923080,0.07500000000000000,0.12000000000000000,0.2868217054263570,0.1585365853658540,0.13829787234042600,0.8354166666666670,0.08928571428571430,0.2692307692307690,0.18791946308724800,0.06818181818181820,0.10526315789473700,0.1923076923076920,0.11904761904761900,0.5357142857142860,0.2722772277227720,0.9014084507042250,0.6920505200594350,0.1336633663366340,0.4935064935064930,0.9056338028169010,0.1370558375634520,0.0783132530120482,0.26114649681528700,0.17256637168141600,0.07174887892376680,0.07407407407407410,0.16129032258064500,0.08860759493670880,0.21559633027522900,0.24615384615384600,0.21818181818181800,0.21794871794871800,0.2601351351351350,0.25196850393700800,0.2613636363636360,0.2251655629139070,0.18,0.15120967741935500,0.055826936496859700,0.11290322580645200,0.11468812877263600,0.24048913043478300,0.11829944547134900,0.12859097127223000,0.18461538461538500,0.264784946236559,0.25775978407557400,0.09441702951136910
114,Stephen Curry,PG,0.8571428571428570,0.8606557377049180,0.47368421052631600,1.0,1.0,0.9038461538461540,0.40000000000000000,0.3333333333333330,0.8062015503875970,0.6707317073170730,0.6170212765957450,0.9791666666666670,0.14285714285714300,0.27884615384615400,0.2214765100671140,0.6250000000000000,0.6315789473684210,0.038461538461538500,0.619047619047619,0.4285714285714290,0.9405940594059410,0.5633802816901410,0.48179791976225900,0.9207920792079210,1.0,0.8169014084507040,0.4534686971235200,0.16265060240963900,0.26114649681528700,0.22566371681415900,0.562780269058296,0.5925925925925930,0.03225806451612900,0.4177215189873420,0.7660550458715600,0.6615384615384620,0.29090909090909100,0.5961538461538460,0.9256756756756760,1.0,0.25,0.847682119205298,0.55,0.786290322580645,0.26866713189113700,0.7231182795698920,0.19315895372233400,0.8179347826086960,0.7024029574861370,1.0,0.24273504273504300,0.8373655913978490,0.15384615384615400,0.41421212897350500
116,Anthony Davis,PF,1.0,0.8770491803278690,0.6105263157894740,0.14893617021276600,0.1891891891891890,0.7264957264957270,1.0,0.9466666666666670,0.6627906976744180,0.7195121951219510,0.7446808510638300,0.7854166666666670,0.44642857142857100,0.6153846153846150,0.5704697986577180,0.11363636363636400,0.4736842105263160,0.923076923076923,0.30952380952381000,0.28571428571428600,0.8514851485148520,0.9014084507042250,0.8889301634472510,0.9554455445544550,0.7272727272727270,0.1563380281690140,0.5532994923857870,0.463855421686747,0.5923566878980890,0.5575221238938050,0.12556053811659200,0.4444444444444440,0.8709677419354840,0.12025316455696200,0.720183486238532,0.7846153846153850,0.8545454545454550,0.891025641025641,0.8378378378378380,0.4409448818897640,0.6590909090909090,0.6225165562913910,0.6,0.6008064516129030,0.9309141660851360,0.7473118279569890,0.835010060362173,0.8192934782608700,0.966728280961183,0.5636114911080710,0.7487179487179490,0.663978494623656,0.38684503901895200,0.9354426705370100
124,DeMar DeRozan,SG,0.73015873015873,0.8360655737704920,0.33684210526315800,0.2553191489361700,0.34234234234234200,0.6623931623931630,0.7250000000000000,0.8,0.41472868217054300,0.6707317073170730,0.6914893617021280,0.7791666666666670,0.14285714285714300,0.12500000000000000,0.11409395973154400,0.47727272727272700,0.2631578947368420,0.07692307692307690,0.3571428571428570,0.25,0.6782178217821780,0.971830985915493,0.8829866270430910,0.5643564356435640,0.4805194805194810,0.2859154929577470,0.5313028764805420,0.1506024096385540,0.1337579617834400,0.11504424778761100,0.44394618834080700,0.25925925925925900,0.06451612903225810,0.1772151898734180,0.7018348623853210,0.6307692307692310,0.47272727272727300,0.6282051282051280,0.597972972972973,0.4330708661417320,0.2954545454545450,0.3973509933774830,0.37,0.3387096774193550,0.48499651081646900,0.6451612903225810,0.21730382293762600,0.6263586956521740,0.47689463955637700,0.7222982216142270,0.4820512820512820,0.5040322580645160,0.10769230769230800,0.6411828737300440
