name,positions,games_played_x,games_started,minutes_played_x,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,games_played_y,minutes_played_y,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,MPG
Michael Finley,SMALL FORWARD,82,82,3443,711,1552,91,263,252,325,109,316,360,118,32,190,174,1765,82,3443,18.2,0.521,0.16899999999999998,0.209,3.6,10.0,6.9,18.3,1.8,0.7,10.1,24.9,5.6,2.9,8.5,0.11900000000000001,2.4,-0.5,1.9,41.98780487804878
Derek Fisher,POINT GUARD,20,20,709,77,187,25,63,50,62,5,54,87,39,2,29,50,229,20,709,14.0,0.534,0.337,0.332,0.8,8.5,4.7,18.3,2.9,0.2,11.9,15.4,1.2,0.5,1.8,0.11900000000000001,-0.6,0.8,0.2,35.45
Danny Fortson,POWER FORWARD,6,6,203,29,50,0,0,42,54,29,69,5,2,0,10,22,100,6,203,24.4,0.6779999999999999,0.0,1.08,14.0,39.3,25.6,4.1,0.5,0.0,11.9,17.4,0.9,0.2,1.1,0.258,4.4,-1.4,3.0,33.833333333333336
Steve Francis,POINT GUARD,80,79,3194,550,1219,133,336,358,438,190,363,517,141,31,265,274,1591,80,3194,21.6,0.563,0.276,0.359,7.1,12.8,10.0,28.4,2.3,0.7,15.8,24.2,9.2,3.0,12.2,0.184,4.5,0.5,5.0,39.925
Kevin Garnett,POWER FORWARD,81,81,3202,704,1475,19,66,357,467,219,702,401,111,145,230,204,1784,81,3202,23.9,0.531,0.045,0.317,7.7,25.3,16.4,21.8,1.8,3.2,12.0,27.0,7.0,4.8,11.8,0.17600000000000002,4.5,1.4,6.0,39.53086419753087
Kendall Gill,SHOOTING GUARD,31,26,892,107,323,4,14,65,90,32,99,87,47,7,48,64,283,31,892,10.1,0.39,0.043,0.27899999999999997,4.0,13.1,8.4,16.7,2.8,0.6,11.7,20.9,-1.1,0.8,-0.4,-0.021,-3.0,0.3,-2.7,28.774193548387096
Brian Grant,CENTER,82,79,2771,484,1010,0,1,282,354,217,501,101,60,71,170,293,1250,82,2771,17.5,0.536,0.001,0.35,9.3,21.5,15.4,7.2,1.2,2.0,12.7,23.4,3.7,5.0,8.7,0.151,-0.3,0.3,0.0,33.792682926829265
Horace Grant,POWER FORWARD,77,77,2390,263,569,0,3,131,169,220,325,121,51,61,48,181,657,77,2390,14.3,0.511,0.005,0.297,10.5,15.2,12.9,7.5,1.1,1.8,6.9,12.9,4.8,1.7,6.5,0.13,0.6,-0.6,0.0,31.038961038961038
Richard Hamilton,SMALL FORWARD,78,42,2519,547,1249,40,146,277,319,75,163,224,75,10,201,203,1411,78,2519,15.7,0.508,0.11699999999999999,0.255,3.4,7.7,5.5,17.7,1.5,0.3,12.6,28.1,2.3,0.1,2.4,0.046,0.4,-2.6,-2.2,32.294871794871796
Tim Hardaway,POINT GUARD,77,77,2613,408,1042,189,517,145,181,26,178,483,90,6,189,155,1150,77,2613,16.7,0.513,0.496,0.174,1.2,8.1,4.6,35.5,1.9,0.2,14.4,24.3,3.1,3.3,6.4,0.11800000000000001,2.8,-0.5,2.4,33.935064935064936
