name,positions,games_played_x,games_started,minutes_played_x,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,MPG
Matt Harpring,SHOOTING GUARD,56,55,1615,5.305263157894737,11.680495356037152,0.2897832817337461,1.1591331269349845,2.986996904024768,3.6780185758513935,2.0061919504643964,3.3882352941176475,2.2736842105263158,0.9362229102167183,0.37894736842105264,2.0061919504643964,3.588854489164087,13.887306501547988,13.3,0.522,0.099,0.315,6.5,10.9,8.7,10.9,1.4,0.8,13.1,19.2,1.8,0.8,2.6,0.077,-0.4,-1.0,-1.3,28.839285714285715
Othella Harrington,CENTER,44,40,1267,5.114443567482241,10.967640094711918,0.0,0.08524072612470403,3.409629044988161,4.375690607734807,2.898184688239937,5.3133385951065515,1.0228887134964484,0.5398579321231255,0.7387529597474349,2.9550118389897397,3.8642462509865827,13.638516179952644,11.7,0.529,0.008,0.39899999999999997,9.3,16.8,13.1,4.9,0.8,1.4,18.6,20.1,0.1,0.8,0.9,0.035,-2.7,-1.3,-4.0,28.795454545454547
Grant Hill,SMALL FORWARD,4,4,133,5.142857142857142,11.639097744360901,0.2706766917293233,0.2706766917293233,4.330827067669173,7.037593984962406,2.1654135338345863,4.601503759398496,6.7669172932330826,1.3533834586466165,0.5413533834586466,2.977443609022556,2.43609022556391,14.887218045112782,18.1,0.505,0.023,0.605,6.5,14.5,10.4,30.7,1.9,1.1,16.8,21.8,0.2,0.2,0.3,0.126,3.3,2.0,5.2,33.25
Tyrone Hill,POWER FORWARD,76,75,2363,4.235294117647059,8.942869234024545,0.0,0.01523487092678798,2.6203977994075327,4.159119763013119,3.641134151502327,6.825222175201016,0.7312738044858231,0.5636902242911553,0.4113415150232755,1.9348286077020735,3.686838764282691,11.09098603470165,12.4,0.515,0.002,0.465,11.7,21.0,16.4,3.3,0.8,0.8,15.2,16.0,2.0,3.5,5.5,0.111,-1.7,-0.8,-2.4,31.092105263157894
Fred Hoiberg,SHOOTING GUARD,74,37,2247,3.476635514018692,7.930574098798399,1.650200267022697,4.005340453938585,2.1789052069425905,2.5153538050734316,0.33644859813084116,4.598130841121495,4.213618157543391,1.5700934579439254,0.1922563417890521,1.185580774365821,2.4833110814419226,10.782376502002672,15.3,0.597,0.505,0.317,1.1,15.8,8.1,19.9,2.3,0.4,11.6,13.2,4.6,1.3,5.9,0.126,0.8,0.4,1.2,30.364864864864863
Allan Houston,SHOOTING GUARD,78,78,2858,6.827151854443667,15.216235129461161,1.2092372288313507,3.1742477256822954,3.514345696291113,3.86703988803359,0.25192442267319803,3.3128061581525543,2.179146256123163,0.655003498950315,0.12596221133659902,2.0279916025192444,2.3932820153953815,18.377886634009798,16.1,0.5429999999999999,0.209,0.254,0.9,10.8,6.0,12.0,1.0,0.3,10.7,25.7,4.1,3.5,7.5,0.126,1.3,-0.1,1.1,36.64102564102564
Juwan Howard,POWER FORWARD,54,54,1981,7.123674911660777,15.028773346794548,0.0,0.0,3.580010095911156,4.652195860676426,2.198889449772842,4.688541140837961,2.7985865724381624,0.8359414437152953,0.38162544169611307,3.071176173649672,3.3801110550227156,17.82735991923271,15.8,0.522,0.0,0.31,7.0,15.5,11.2,14.9,1.2,0.8,15.2,24.9,1.6,0.6,2.2,0.053,0.2,-1.7,-1.5,36.68518518518518
Larry Hughes,SHOOTING GUARD,50,45,1846,6.006500541711809,15.6988082340195,0.27302275189599134,1.4626218851570965,3.763813651137595,4.914409534127844,1.4821235102925243,3.9003250270855903,4.348862405200434,1.8721560130010833,0.5655471289274105,2.9642470205850486,2.866738894907909,16.049837486457204,13.9,0.449,0.09300000000000001,0.313,4.0,12.5,7.9,21.0,2.7,1.1,14.2,24.4,-0.4,1.1,0.6,0.017,-1.2,-0.2,-1.4,36.92
Allen Iverson,SHOOTING GUARD,71,71,2979,9.208459214501511,21.909365558912388,1.1842900302114803,3.697885196374622,7.069486404833837,8.688821752265861,0.6042296072507553,2.694864048338369,3.9274924471299095,2.1510574018126887,0.2416918429003021,2.86404833836858,1.7764350453172206,26.67069486404834,24.0,0.518,0.16899999999999998,0.397,1.9,8.3,5.2,23.0,3.2,0.5,10.0,35.9,7.3,4.5,11.8,0.19,5.0,1.1,6.1,41.95774647887324
Jim Jackson,SMALL FORWARD,17,14,550,5.04,14.203636363636365,1.0472727272727274,2.4872727272727273,4.778181818181818,5.563636363636364,1.1127272727272728,4.058181818181819,3.272727272727273,1.2436363636363637,0.26181818181818184,3.141818181818182,2.7490909090909095,15.905454545454546,12.7,0.478,0.175,0.392,3.4,12.6,8.0,15.4,1.8,0.5,15.9,24.6,-0.1,0.4,0.4,0.031,-0.6,-1.3,-1.9,32.35294117647059
Marc Jackson,CENTER,48,35,1410,6.051063829787234,12.970212765957447,0.1276595744680851,0.5872340425531914,3.931914893617021,4.902127659574468,3.0382978723404253,6.178723404255319,1.5063829787234042,0.8680851063829786,0.6893617021276596,2.374468085106383,3.5234042553191487,16.161702127659574,16.1,0.534,0.045,0.37799999999999995,8.3,19.8,13.6,7.3,1.2,1.4,13.6,20.5,1.9,0.7,2.6,0.08900000000000001,-0.2,-1.4,-1.6,29.375
Mark Jackson,POINT GUARD,54,54,1802,3.3962264150943398,8.051054384017759,1.1387347391786904,3.296337402885683,1.2785793562708103,1.5183129855715873,0.8390677025527192,2.8568257491675917,9.948945615982243,1.258601553829079,0.13984461709211987,2.3374028856825753,1.658157602663707,9.209766925638181,16.3,0.528,0.409,0.18899999999999997,2.6,9.2,5.8,41.3,1.8,0.3,21.1,13.7,3.5,1.2,4.7,0.125,2.3,-0.6,1.8,33.370370370370374
Antawn Jamison,SMALL FORWARD,82,82,3394,8.485562757807896,19.219799646434886,0.657631113730112,2.1744254566882733,4.05185621685327,5.664113140836771,2.9699469652327637,4.614024749558044,1.7395403653506187,1.2091926929876253,0.29699469652327637,2.110783736004714,2.386564525633471,21.680612846199175,19.0,0.499,0.113,0.295,8.1,14.8,11.2,9.5,1.7,0.6,8.9,27.9,5.4,1.3,6.7,0.094,2.8,-2.0,0.8,41.390243902439025
Larry Johnson,POWER FORWARD,65,65,2105,4.207125890736342,10.2270783847981,0.872209026128266,2.7876484560570067,1.744418052256532,2.1890736342042754,1.539192399049881,4.668883610451306,2.1719714964370547,0.6669833729216151,0.49596199524940615,1.6589073634204274,3.5743467933491684,11.03087885985748,11.2,0.493,0.273,0.214,5.3,15.2,10.4,10.5,1.0,1.1,12.9,17.4,1.0,3.1,4.1,0.09300000000000001,-1.0,0.9,-0.1,32.38461538461539
Eddie Jones,SHOOTING GUARD,63,58,2282,6.120946538124452,13.740578439964942,1.4198071866783522,3.7546012269938647,3.596844872918492,4.259421560035056,1.1831726555652935,3.4233128834355826,2.697633654688869,1.735319894829097,0.9149868536371603,2.129710780017528,2.8869412795793163,17.258545135845747,18.8,0.5529999999999999,0.273,0.31,3.9,11.3,7.6,14.8,2.7,2.0,12.0,23.9,3.9,4.0,7.9,0.166,2.5,2.1,4.6,36.22222222222222
Jason Kidd,POINT GUARD,77,76,3065,5.297226753670473,12.884828711256118,0.8104404567699837,2.7249592169657424,3.8525285481239804,4.733442088091354,1.06884176182708,4.733442088091354,8.844371941272431,1.9497553017944536,0.2701468189233279,3.3592169657422515,2.008482871125612,15.25742251223491,19.4,0.51,0.21100000000000002,0.36700000000000005,3.3,15.2,9.1,41.2,2.8,0.5,18.3,22.7,4.2,5.4,9.6,0.15,2.4,1.7,4.2,39.8051948051948
Brevin Knight,POINT GUARD,47,43,1364,3.6158357771260996,9.395894428152493,0.026392961876832845,0.26392961876832843,1.2932551319648093,1.5835777126099708,0.5806451612903226,3.6686217008797657,7.548387096774194,2.5073313782991202,0.07917888563049853,2.217008797653959,3.642228739002933,8.551319648093841,6.5,0.255,0.0,0.4,1.2,7.5,4.4,38.0,3.4,0.8,28.4,12.0,-0.1,0.1,-0.1,-0.03,-5.5,1.6,-3.9,29.02127659574468
Toni Kukoč,SMALL FORWARD,17,14,618,7.223300970873787,14.679611650485437,2.2135922330097086,4.601941747572815,2.854368932038835,4.194174757281553,1.1067961165048543,4.543689320388349,6.174757281553398,0.7572815533980582,0.2912621359223301,2.970873786407767,2.0970873786407767,19.514563106796118,15.3,0.523,0.23600000000000002,0.267,5.5,13.0,9.4,16.5,1.9,0.4,14.0,19.8,1.1,1.3,2.5,0.121,1.4,0.7,2.1,36.35294117647059
Christian Laettner,POWER FORWARD,25,13,733,5.5006821282401095,11.197817189631651,0.14733969986357437,0.49113233287858116,5.058663028649386,5.9918144611186905,2.111869031377899,5.402455661664393,2.799454297407913,1.5225102319236017,0.9331514324693042,3.290586630286494,4.076398362892224,16.20736698499318,16.7,0.5539999999999999,0.009000000000000001,0.254,9.2,16.0,12.7,12.0,2.2,2.1,16.3,21.0,1.3,1.3,2.6,0.134,-0.5,1.3,0.8,29.32
